display_name,file,width_px,height_px,status,source
"Mae Acebedo-Vargas","acebedo-vargas.png",648,720,"verified","archive/12th-mne-forum-2025.html"
"Joy Aceron","aceron.jpg",1350,1800,"verified","archive/12th-mne-forum-2025.html"
"Russell H. Adalla","adala.png",734,812,"verified","archive/12th-mne-forum-2025.html"
"Dennis M. Albano","albano.png",1200,1600,"verified","archive/12th-mne-forum-2025.html"
"Edgardo S. Aranjuez II","aranjuez.png",690,734,"verified","archive/12th-mne-forum-2025.html"
"Arsenio M. Balisacan, PhD","balisacan.png",880,892,"verified","archive/12th-mne-forum-2025.html"
"Anthony Lawrence Borja, PhD","borja.png",698,702,"verified","archive/12th-mne-forum-2025.html"
"Ernesto O. Brown, PhD","brown.png",780,738,"verified","archive/12th-mne-forum-2025.html"
"Ronaldo S. Caddarao","caddarao.png",1950,1950,"verified","archive/12th-mne-forum-2025.html"
"Joseph J. Capuno, PhD","capuno.png",786,794,"verified","archive/12th-mne-forum-2025.html"
"Mylah Faye Aurora B. Cariño","carino.png",1006,994,"verified","archive/12th-mne-forum-2025.html"
"Stephanie F. Christiansen","christiansen.png",600,600,"verified","archive/12th-mne-forum-2025.html"
"Bernardo Cielo II, MPP","cielo.png",756,846,"verified","archive/12th-mne-forum-2025.html"
"Karisha Anne Cruz","cruz.jpg",600,600,"verified","archive/12th-mne-forum-2025.html"
"Mary Joy O. De Leon","deleon.png",586,588,"verified","archive/12th-mne-forum-2025.html"
"Mary Joy O. De Leon","deleon.jpg",2299,2640,"alternate-unverified","filename inference only; not referenced by archive"
"Ma. Ella Oplas","ellaoplas.png",574,584,"verified","archive/12th-mne-forum-2025.html"
"Jaypee Kein G. Entredicho","entredicho.png",638,738,"verified","archive/12th-mne-forum-2025.html"
"Nerrisa T. Esguerra","esguerra.png",1014,910,"verified","archive/12th-mne-forum-2025.html"
"Nerrisa T. Esguerra","esguerra.jpg",1868,2048,"alternate-unverified","filename inference only; not referenced by archive"
"Catherine Ann L. Gaurana, EnP","gaurana.png",370,338,"verified","archive/12th-mne-forum-2025.html"
"","holder.jpg",8000,8000,"unidentified","not referenced by archive"
"Arlene Inocencio, PhD","inocencio.png",906,992,"verified","archive/12th-mne-forum-2025.html"
"Karl Robert L. Jandoc, PhD","jandoc.jpg",2838,3260,"verified","archive/12th-mne-forum-2025.html"
"Zhigang Li, PhD","li.jpg",600,600,"verified","archive/12th-mne-forum-2025.html"
"John Aries S. Macaspac","macaspac.png",442,514,"verified","archive/12th-mne-forum-2025.html"
"Claire Dennis S. Mapa, PhD","mapa.png",724,746,"verified","archive/12th-mne-forum-2025.html"
"Roland Mathiasson","mathiasson.png",598,650,"verified","archive/12th-mne-forum-2025.html"
"Rafael Jairah Jr. D. Matoy, RN, MPH","matoy.png",544,644,"verified","archive/12th-mne-forum-2025.html"
"Toby Melissa C. Monsod, PhD","monsod.png",810,1010,"verified","archive/12th-mne-forum-2025.html"
"Jed Asiaii Dimaisip-Nabuab","nabuab.jpg",697,507,"verified","archive/12th-mne-forum-2025.html"
"","narag.png",590,528,"unidentified","not referenced by archive"
"Ashish Narain, PhD","narain.jpg",235,235,"verified","archive/12th-mne-forum-2025.html"
"Bienvenido Oplas, Jr.","oplasjr.jpg",200,200,"verified","archive/12th-mne-forum-2025.html"
"Roderick M. Planta","planta.png",802,812,"verified","archive/12th-mne-forum-2025.html"
"Atty. Melanie A. Quilantang","quilantang.png",922,844,"verified","archive/12th-mne-forum-2025.html"
"Rachelle Angela C. Ramos","ramos.png",572,588,"verified","archive/12th-mne-forum-2025.html"
"Saleema Razvi, PhD","razvi.jpeg",481,551,"verified","archive/12th-mne-forum-2025.html"
"Jessica Reyes-Cantos","reyes-cantos.jpg",300,300,"verified","archive/12th-mne-forum-2025.html"
"Leilani M. Reynoso","reynoso.png",524,572,"verified","archive/12th-mne-forum-2025.html"
"Catherine C. Romero, MHA, MSPH","romero.png",674,694,"verified","archive/12th-mne-forum-2025.html"
"Anne Gilica DC. Santos","santos.png",600,600,"verified","archive/12th-mne-forum-2025.html"
"Alellie B. Sobreviñas, PhD","sobrevinas.jpg",746,945,"verified","archive/12th-mne-forum-2025.html"
"Vivien Suerte-Cortez","suerte.png",874,808,"verified","archive/12th-mne-forum-2025.html"
"Paul Andrew M. Tatlonghari","tatlonghari.png",478,570,"verified","archive/12th-mne-forum-2025.html"
"Marites M. Tiongco, PhD","tiongco.jpg",600,600,"verified","archive/12th-mne-forum-2025.html"
"Lindsley Jeremiah Villarante, RN, MPH","villarante.png",652,724,"verified","archive/12th-mne-forum-2025.html"
"Wilford Will L. Wong","wong.png",786,782,"verified","archive/12th-mne-forum-2025.html"
