"speaker","output_file","source_relative_path","source_kind","embedded_path","source_width_px","source_height_px","output_width_px","output_height_px","output_bytes","object_position","photo_scale","verified"
"Arsenio M. Balisacan","arsenio-balisacan.webp","Speakers (Keynote and Closing)\SAMB Photo.jpg","manual-square-crop","","2832","4240","1024","1024","132744","50% 50%","1.00","yes"
"Christophe Bahuet","christophe-bahuet.webp","Speakers (Keynote and Closing)\RR Christophe Bahuet photo 2.jpeg","manual-square-crop","","4128","6192","1024","1024","147408","50% 50%","1.00","yes"
"Roderick M. Planta","roderick-planta.webp","Speakers (Keynote and Closing)\ARMP Portrait.jpg","manual-square-crop","","4000","6000","1024","1024","185784","50% 50%","1.00","yes"
"Diane Gail L. Maharjan","diane-maharjan.jpg","Plenary 1\InnovS Director Diane Maharjan.jpg","manual-square-crop","","1200","1800","640","640","68619","50% 50%","1.00","yes"
"Joseph J. Capuno","joseph-capuno.webp","Plenary 2\2_Bionote and Picture\Bionote - DEPDev Joseph Capuno.docx","manual-square-crop","word/media/image1.jpeg","678","678","423","423","23196","50% 50%","1.00","yes"
"Vivien Suerte-Cortez","vivien-suerte-cortez.webp","Plenary 2\2_Bionote and Picture\Vivien Suerte photo 2x2.jpg","manual-square-crop","","900","900","720","720","51510","50% 50%","1.00","yes"
"Wilford Will L. Wong","wilford-wong.webp","Plenary 2\WWong\wwong_hires.jpg","manual-square-crop","","610","855","225","225","7224","50% 50%","1.00","yes"
"Rosemarie G. Edillon, PhD","rosemarie-edillon.jpg","Plenary 1\viber_image_2026-03-25_10-03-19-494.jpg","manual-square-crop","","617","797","384","384","27488","50% 50%","1.00","yes"
"Johann Carlos S. Barcena, CESO III","johann-barcena.jpg","Plenary 2\PCBARCENA\PCBARCENA.jpg","manual-square-crop","","826","1060","602","602","90741","50% 50%","1.00","yes"
"Johannes Paulus B. Acuña","johannes-acuna.jpg","Plenary 2\JPBACUÑA\AJPBA (1)_cropped.jpg","manual-square-crop","","861","861","861","861","96650","50% 50%","1.00","yes"
"Jasmin C. Zantua","jasmin-zantua.jpg","Breakout 1.1\1.4 [Moderator] ARD Jasmin Zantua l DRO V\Jasmin Zantua ID.JPG","manual-square-crop","","1200","1200","613","613","76763","50% 50%","1.00","yes"
"Syrus Borja Gomari","syrus-gomari.jpg","Breakout 1.1\1.1 [Presenter or Panelist] Dr. Syrus Gomari l Seermo\SBG_pic_2x2.jpg","manual-square-crop","","1600","1600","614","614","90747","50% 50%","1.00","yes"
"Jhon Rhandy Cabanes","john-randy-cabanes.jpg","Breakout 1.1\1.2 [Presenter or Panelist] Engr. Jhon Rhandy Cabanes l CTDMO - City Government of Pasig\CABANES_2x2 (1).JPG","manual-square-crop","","600","600","599","599","72541","50% 50%","1.00","yes"
"Mario Christopher G. Gumba","mario-gumba.jpg","Breakout 1.1\1.3 [Presenter or Panelist] Engr. Mario Gumba l CPDO - City Government of Naga\IMG_6481.jpeg","manual-square-crop","","660","1173","458","458","60846","50% 50%","1.00","yes"
"Francis L. Camarao","francis-camarao.jpg","Breakout 1.2\portrait_Camarao, F..jpg","manual-square-crop","","1122","1402","518","518","51513","50% 50%","1.00","yes"
"Sebastian Felipe Bundoc","sebastian-bundoc.jpg","Breakout 2.1\Bundoc - DepEd ECAIR - Photo.JPG","manual-square-crop","","8688","5792","417","417","38489","50% 50%","1.00","yes"
"Aleli D. Kraft","aleli-kraft.jpg","Breakout 2.2\KRAFT - UPSE - Photo.jpg","manual-square-crop","","849","785","680","680","205987","50% 50%","1.00","yes"
"Kerry Albright","kerry-albright.jpg","Breakout 2.3\Kerry Albright ADB.JPG","manual-square-crop","","1056","1365","633","633","131049","50% 50%","1.00","yes"
"Agnes M. Espinas-Tolentino, CESO III","agnes-tolentino.jpg","Tolentino_Headshot_cropped.jpg","manual-square-crop","","3089","3089","3089","3089","1694819","50% 50%","1.00","yes"
"Christopher James R. Cabuay","christopher-james-r-cabuay.webp","manual-speaker-crops\output-square\christopher-james-r-cabuay_cropped.jpg","manual-square-crop","","1156","1156","720","720","32270","50% 50%","1.00","yes"
"Jose Ramon T. Albert","jose-ramon-t-albert.webp","manual-speaker-crops\output-square\jose-ramon-t-albert_cropped.jpg","manual-square-crop","","2471","2471","720","720","41466","50% 50%","1.00","yes"
"Josefina V. Almeda","josefina-v-almeda.webp","manual-speaker-crops\output-square\josefina-v-almeda_cropped.jpg","manual-square-crop","","525","525","525","525","27500","50% 50%","1.00","yes"
"Karl Robert L. Jandoc","karl-robert-l-jandoc.webp","manual-speaker-crops\output-square\karl-robert-l-jandoc_cropped.jpg","manual-square-crop","","2386","2386","720","720","32666","50% 50%","1.00","yes"
